EMD_CD,EMD_NM
26440121,천성동
26470101,거제동
26470102,연산동
26500101,망미동
26500102,수영동
26500103,민락동
26500104,광안동
26500105,남천동
26530101,삼락동
26530102,모라동
26530103,덕포동
26530104,괘법동
26530105,감전동
26530106,주례동
26530107,학장동
26530108,엄궁동
26710250,기장읍
26710253,장안읍
26710256,정관읍
26710259,일광읍
26710330,철마면
27110101,동인동1가
27110102,동인동2가
27110104,동인동4가
27110105,삼덕동1가
27110106,삼덕동2가
27110107,삼덕동3가
27110108,봉산동
27110112,덕산동
27110113,종로1가
27110115,사일동
27110116,동일동
27110117,남일동
27110118,전동
27110119,동성로3가
27110120,동문동
27110122,공평동
27110123,동성로2가
27110124,태평로1가
27110130,수창동
27110131,태평로3가
27110139,계산동2가
27110140,동산동
27110141,서문로2가
27110143,포정동
27110150,북성로1가
27110154,대신동
27110155,달성동
27110156,남산동
27110157,대봉동
27140101,신암동
27140102,신천동
27140103,효목동
27140104,평광동
27140105,봉무동
27140106,불로동
27140107,도동
27140108,지저동
27140109,입석동
27140110,검사동
27140111,방촌동
27140112,둔산동
27140113,부동
27140114,신평동
27140115,서호동
27140116,동호동
27140117,신기동
27140118,율하동
27140119,용계동
27140120,율암동
27140121,상매동
27140123,각산동
27140124,신서동
27140125,동내동
27140126,괴전동
27140128,대림동
27140129,사복동
27140130,숙천동
27140133,진인동
27140134,도학동
27140137,용수동
27140138,신무동
27140139,미대동
27140142,중대동
27140143,송정동
27140144,덕곡동
27140145,지묘동
27170101,내당동
27170102,비산동
27170103,평리동
27170104,상리동
27170105,중리동
27170106,이현동
27170109,원대동3가
27200101,이천동
27200102,봉덕동
27200103,대명동
27230101,칠성동1가
27230102,칠성동2가
27230105,고성동3가
27230106,침산동
27230107,노원동1가
27230108,노원동2가
27230109,노원동3가
27230110,대현동
27230111,산격동
27230112,복현동
27230113,검단동
27230114,동변동
27230115,서변동
27230118,읍내동
27230119,동호동
27230120,학정동
27230122,국우동
27230123,구암동
27230124,동천동
27230125,관음동
27230126,태전동
27230127,매천동
27230128,팔달동
27230129,금호동
27230130,사수동
27230131,연경동
27260101,범어동
27260102,만촌동
27260103,수성동1가
27260104,수성동2가
27260105,수성동3가
27260106,수성동4가
27260107,황금동
27260108,중동
27260109,상동
27260110,파동
27260111,두산동
27260112,지산동
27260113,범물동
27260114,시지동
27260115,매호동
27260117,사월동
27260118,신매동
27260119,욱수동
27260120,노변동
27260122,삼덕동
27260125,고모동
27260127,대흥동
27290101,성당동
27290102,두류동
27290104,파호동
27290105,호림동
27290106,갈산동
27290107,신당동
27290108,이곡동
27290109,장동
27290110,장기동
27290111,용산동
27290112,죽전동
27290113,감삼동
27290114,본리동
27290115,상인동
27290116,도원동
27290117,진천동
27290118,유천동
27290119,대천동
27290120,월성동
27290121,월암동
27290122,송현동
27290123,대곡동
27290124,본동
27290125,호산동
27710250,화원읍
27710253,논공읍
27710256,다사읍
27710259,유가읍
27710262,옥포읍
27710265,현풍읍
27710310,가창면
27710330,하빈면
27710380,구지면
27720250,군위읍
27720310,소보면
27720320,효령면
27720330,부계면
27720340,우보면
27720350,의흥면
27720360,산성면
27720370,삼국유사면
28110109,관동1가
28110114,항동3가
28110118,항동7가
28110119,송학동1가
28110123,신생동
28110126,신흥동1가
28110127,신흥동2가
28110128,신흥동3가
28110132,도원동
28110134,경동
28110136,인현동
28110137,전동
28110138,북성동1가
28110139,북성동2가
28110143,송월동2가
28110145,중산동
28110146,운남동
28110147,운서동
28110148,운북동
28110149,을왕동
28110150,남북동
28110152,무의동
28140101,만석동
28140102,화수동
28140103,송현동
28140105,창영동
28140106,금곡동
28140107,송림동
28177101,숭의동
28177102,용현동
28177103,학익동
28177104,도화동
28177105,주안동
28177106,관교동
28177107,문학동
28185101,옥련동
28185102,선학동
28185103,연수동
28185104,청학동
28185105,동춘동
28185106,송도동
28200101,구월동
28200102,간석동
28200103,만수동
28200104,장수동
28200105,서창동
28200106,운연동
28200107,남촌동
28200108,수산동
28200109,도림동
28200110,논현동
28200111,고잔동
28237101,부평동
28237102,십정동
28237103,산곡동
28237104,청천동
28237105,삼산동
28237106,갈산동
28237107,부개동
28237108,일신동
28237109,구산동
28245101,효성동
28245102,계산동
28245103,작전동
28245104,서운동
28245105,임학동
28245106,용종동
28245107,병방동
28245108,방축동
28245109,박촌동
28245110,동양동
28245111,귤현동
28245117,이화동
28245123,장기동
28260101,백석동
28260102,시천동
28260103,검암동
28260104,경서동
28260105,공촌동
28260106,연희동
28260107,심곡동
28260108,가정동
28260109,신현동
28260110,석남동
28260111,원창동
28260112,가좌동
28260113,마전동
28260114,당하동
28260115,원당동
28260118,금곡동
28260119,오류동
28260120,왕길동
28260121,불로동
28260122,청라동
28710250,강화읍
28710310,선원면
28710320,불은면
28710330,길상면
28710340,화도면
28710350,양도면
28710360,내가면
28710370,하점면
28710380,양사면
28710390,송해면
28710400,교동면
28710410,삼산면
28720360,영흥면
28720370,자월면
29110101,대인동
29110102,금남로5가
29110103,충장로5가
29110104,수기동
29110105,대의동
29110106,궁동
29110108,동명동
29110109,계림동
29110110,산수동
29110111,지산동
29110113,광산동
29110116,불로동
29110118,서석동
29110119,소태동
29110121,운림동
29110122,학동
29110125,내남동
29110126,용산동
29110130,충장로4가
29110132,금남로2가
29110133,금남로3가
29110134,금남로4가
29140104,양동
29140106,농성동
29140115,광천동
29140116,유촌동
29140117,덕흥동
29140118,쌍촌동
29140119,화정동
29140120,치평동
29140121,내방동
29140126,세하동
29140128,풍암동
29140129,벽진동
29140130,금호동
29140131,마륵동
29140132,매월동
29140133,동천동
29155101,사동
29155102,구동
29155103,서동
29155104,월산동
29155105,백운동
29155106,주월동
29155107,노대동
29155108,진월동
29155109,덕남동
29155110,행암동
29155111,임암동
29155112,송하동
29155113,양림동
29155114,방림동
29155115,봉선동
29155120,지석동
29155121,압촌동
29155130,월성동
29170101,중흥동
29170102,유동
29170103,누문동
29170104,북동
29170105,임동
29170106,신안동
29170107,용봉동
29170108,동림동
29170109,운암동
29170110,우산동
29170111,풍향동
29170112,문흥동
29170113,각화동
29170114,두암동
29170115,오치동
29170116,삼각동
29170117,매곡동
29170118,충효동
29170121,망월동
29170124,장등동
29170125,운정동
29170126,본촌동
29170127,일곡동
29170128,양산동
29170129,연제동
29170130,신용동
29170131,용두동
29170132,지야동
29170134,수곡동
29170136,용전동
29170138,생용동
29170139,월출동
29170140,대촌동
29170141,오룡동
29200101,송정동
29200102,도산동
29200104,신촌동
29200105,서봉동
29200106,운수동
29200107,선암동
29200108,소촌동
29200109,우산동
29200110,황룡동
29200112,비아동
29200113,도천동
29200114,수완동
29200115,월계동
29200116,쌍암동
29200117,산월동
29200118,신창동
29200119,신가동
29200120,운남동
29200121,안청동
29200123,장덕동
29200124,흑석동
29200125,하남동
29200126,장수동
29200127,산정동
29200128,월곡동
29200131,고룡동
29200134,임곡동
29200138,하산동
29200143,복룡동
29200145,옥동
29200146,월전동
29200147,장록동
29200148,송촌동
29200149,지죽동
29200150,용동
29200151,용곡동
29200155,연산동
29200156,도덕동
29200160,삼거동
29200167,남산동
29200168,송치동
29200202,오선동
30110101,원동
30110102,인동
30110103,효동
30110105,가오동
30110106,신흥동
30110107,판암동
30110108,삼정동
30110109,용운동
30110110,대동
30110111,자양동
30110112,신안동
30110113,소제동
30110114,가양동
30110115,용전동
30110116,성남동
30110117,홍도동
30110118,삼성동
30110119,정동
30110120,중동
30110121,추동
30110122,비룡동
30110130,신하동
30110136,낭월동
30110137,대별동
30110139,대성동
30110142,구도동
30110144,상소동
30110145,하소동
30140101,은행동
30140102,선화동
30140103,목동
30140104,중촌동
30140105,대흥동
30140106,문창동
30140107,석교동
30140109,옥계동
30140110,대사동
30140111,부사동
30140112,용두동
30140113,오류동
30140114,태평동
30140115,유천동
30140116,문화동
30140117,산성동
30140118,사정동
30140119,안영동
30140122,침산동
30170101,복수동
30170102,변동
30170103,도마동
30170104,정림동
30170105,용문동
30170106,탄방동
30170108,괴정동
30170109,가장동
30170110,내동
30170111,갈마동
30170112,둔산동
30170113,월평동
30170114,가수원동
30170115,도안동
30170116,관저동
30170117,흑석동
30170120,장안동
30170122,오동
30170127,괴곡동
30170128,만년동
30200101,원내동
30200102,교촌동
30200103,대정동
30200104,용계동
30200105,학하동
30200106,계산동
30200107,성북동
30200111,봉명동
30200112,구암동
30200113,덕명동
30200114,원신흥동
30200115,상대동
30200116,복용동
30200117,장대동
30200118,갑동
30200119,노은동
30200120,지족동
30200121,죽동
30200122,궁동
30200123,어은동
30200124,구성동
30200125,신성동
30200126,가정동
30200127,도룡동
30200128,장동
30200129,방현동
30200130,화암동
30200131,덕진동
30200132,하기동
30200135,신봉동
30200136,수남동
30200137,안산동
30200138,외삼동
30200139,반석동
30200140,문지동
30200141,전민동
30200142,원촌동
30200143,탑립동
30200144,용산동
30200145,봉산동
30200146,관평동
30200147,송강동
30200148,금고동
30200151,신동
30200152,둔곡동
30230101,오정동
30230102,대화동
30230103,읍내동
30230104,연축동
30230105,신대동
30230106,와동
30230107,송촌동
30230108,법동
30230109,중리동
30230110,비래동
30230111,석봉동
30230112,목상동
30230113,문평동
30230114,신일동
30230115,덕암동
30230116,상서동
30230117,평촌동
30230118,장동
30230119,용호동
30230125,미호동
30230126,신탄진동
31110101,학성동
31110102,학산동
31110103,복산동
31110104,북정동
31110105,옥교동
31110106,성남동
31110107,교동
31110108,우정동
31110109,성안동
31110110,유곡동
31110111,태화동
31110112,다운동
31110113,동동
31110114,서동
31110115,남외동
31110116,장현동
31110117,약사동
31110118,반구동
31140101,무거동
31140102,옥동
31140103,두왕동
31140104,신정동
31140105,달동
31140106,삼산동
31140107,여천동
31140108,야음동
31140109,선암동
31140110,상개동
31140115,용연동
31140117,용잠동
31140118,장생포동
31140119,매암동
31170101,방어동
31170102,화정동
31170103,일산동
31170104,전하동
31170107,동부동
31170108,서부동
31200101,창평동
31200102,호계동
31200103,매곡동
31200105,신천동
31200106,중산동
31200107,상안동
31200108,천곡동
31200109,달천동
31200112,구유동
31200113,정자동
31200114,신명동
31200115,대안동
31200116,당사동
31200117,신현동
31200118,산하동
31200119,어물동
31200120,명촌동
31200121,진장동
31200122,연암동
31200123,효문동
31200124,양정동
31200125,화봉동
31200126,송정동
31200127,염포동
31710250,온산읍
31710253,언양읍
31710256,온양읍
31710259,범서읍
31710262,청량읍
31710265,삼남읍
31710310,서생면
31710340,웅촌면
31710360,두동면
31710370,두서면
31710380,상북면
31710400,삼동면
36110101,850
36110102,521-1
36110103,718
36110104,674
36110105,970
36110106,961
36110107,727
36110108,576
36110109,929
36110110,648
36110111,673
36110112,1390
36110113,1286
36110114,632
36110115,645
36110116,산
36110118,579-38
36110119,1201
36110250,침산리
36110310,연기리
36110320,명학리
36110330,부강리
36110340,발산리
36110350,금암리
36110360,부동리
36110370,양곡리
36110380,청람리
36110390,소정리
41111129,장안구
41111130,장안구
41111131,장안구
41111132,장안구
41111133,장안구
41111134,장안구
41111135,장안구
41111136,장안구
41111137,장안구
41111139,장안구
41113126,권선구
41113127,권선구
41113128,권선구
41113129,권선구
41113131,권선구
41113132,권선구
41113133,권선구
41113134,권선구
41113135,권선구
41113136,권선구
41113137,권선구
41113138,권선구
41113139,권선구
41113140,권선구
41113141,권선구
41115121,팔달구
41115123,팔달구
41115127,팔달구
41115128,팔달구
41115130,팔달구
41115132,팔달구
41115133,팔달구
41115134,팔달구
41115135,팔달구
41115136,팔달구
41115137,팔달구
41115138,팔달구
41115139,팔달구
41115140,팔달구
41115141,팔달구
41117101,영통구
41117102,영통구
41117103,영통구
41117104,영통구
41117105,영통구
41117106,영통구
41117107,영통구
41131101,수정구
41131102,수정구
41131103,수정구
41131104,수정구
41131105,수정구
41131106,수정구
41131107,수정구
41131108,수정구
41131109,수정구
41131110,수정구
41131111,수정구
41131112,수정구
41131115,수정구
41131116,수정구
41131117,수정구
41133101,중원구
41133103,중원구
41133104,중원구
41133105,중원구
41133106,중원구
41133107,중원구
41133108,중원구
41133109,중원구
41133132,중원구
41135101,분당구
41135102,분당구
41135103,분당구
41135104,분당구
41135105,분당구
41135106,분당구
41135107,분당구
41135108,분당구
41135109,분당구
41135110,분당구
41135111,분당구
41135112,분당구
41135114,분당구
41135115,분당구
41135116,분당구
41135118,분당구
41150101,의정부동
41150102,호원동
41150103,장암동
41150104,신곡동
41150105,용현동
41150106,민락동
41150107,낙양동
41150108,자일동
41150109,금오동
41150110,가능동
41150111,녹양동
41150112,고산동
41150113,산곡동
41171101,만안구
41171102,만안구
41171103,만안구
41173101,동안구
41173102,동안구
41173103,동안구
41173104,동안구
41192101,원미구
41192102,원미구
41192103,원미구
41192104,원미구
41192105,원미구
41192106,원미구
41192107,원미구
41192108,원미구
41192109,원미구
41194101,소사구
41194102,소사구
41194103,소사구
41194104,소사구
41194105,소사구
41194106,소사구
41194107,소사구
41196101,오정구
41196102,오정구
41196103,오정구
41196104,오정구
41196105,오정구
41196106,오정구
41196107,오정구
41196108,오정구
41210101,광명동
41210102,철산동
41210103,하안동
41210104,소하동
41210105,노온사동
41210106,일직동
41210107,가학동
41220101,서정동
41220102,장당동
41220105,칠원동
41220106,도일동
41220107,가재동
41220108,장안동
41220109,이충동
41220110,지산동
41220111,독곡동
41220112,신장동
41220113,평택동
41220114,통복동
41220115,군문동
41220117,합정동
41220118,비전동
41220119,동삭동
41220120,세교동
41220121,지제동
41220122,신대동
41220123,소사동
41220124,용이동
41220127,죽백동
41220128,고덕동
41220250,팽성읍
41220253,안중읍
41220256,포승읍
41220259,청북읍
41220310,진위면
41220320,서탄면
41220330,고덕면
41220340,오성면
41220370,현덕면
41250101,송내동
41250102,지행동
41250103,생연동
41250106,보산동
41250107,동두천동
41250108,안흥동
41250109,상봉암동
41250110,하봉암동
41250111,탑동동
41250112,상패동
41271101,상록구
41271102,상록구
41271103,상록구
41271104,상록구
41271105,상록구
41271107,상록구
41271108,상록구
41271109,상록구
41271110,상록구
41271111,상록구
41271112,상록구
41271113,상록구
41271115,상록구
41273101,단원구
41273102,단원구
41273103,단원구
41273104,단원구
41273105,단원구
41273106,단원구
41273107,단원구
41273108,단원구
41273109,단원구
41273110,단원구
41273111,-
41273112,단원구
41273113,단원구
41281101,덕양구
41281102,덕양구
41281103,덕양구
41281104,덕양구
41281105,덕양구
41281106,덕양구
41281107,덕양구
41281108,덕양구
41281109,덕양구
41281110,덕양구
41281111,덕양구
41281112,덕양구
41281113,덕양구
41281114,덕양구
41281116,덕양구
41281117,덕양구
41281118,덕양구
41281119,덕양구
41281120,덕양구
41281121,덕양구
41281122,덕양구
41281123,덕양구
41281124,덕양구
41281125,덕양구
41281126,덕양구
41281128,덕양구
41281129,덕양구
41281130,덕양구
41281131,덕양구
41281132,덕양구
41285101,일산동구
41285102,일산동구
41285103,일산동구
41285104,일산동구
41285105,일산동구
41285106,일산동구
41285107,일산동구
41285109,일산동구
41285111,일산동구
41285112,일산동구
41285113,일산동구
41287101,일산서구
41287102,일산서구
41287103,일산서구
41287104,일산서구
41287105,일산서구
41287106,일산서구
41287108,일산서구
41290101,관문동
41290102,문원동
41290103,갈현동
41290104,막계동
41290105,과천동
41290106,주암동
41290107,중앙동
41290108,원문동
41290109,별양동
41290110,부림동
41310101,갈매동
41310102,사노동
41310103,인창동
41310104,교문동
41310105,수택동
41310107,토평동
41360101,호평동
41360102,평내동
41360103,금곡동
41360104,일패동
41360105,이패동
41360106,삼패동
41360108,수석동
41360111,별내동
41360112,다산동
41360250,와부읍
41360253,진접읍
41360256,화도읍
41360259,진건읍
41360262,오남읍
41360265,퇴계원읍
41360310,별내면
41360340,수동면
41360360,조안면
41370101,오산동
41370102,부산동
41370103,원동
41370104,궐동
41370105,청학동
41370107,금암동
41370108,수청동
41370109,은계동
41370110,내삼미동
41370111,외삼미동
41370112,양산동
41370113,세교동
41370114,지곶동
41370116,서동
41370117,벌음동
41370118,두곡동
41370121,가수동
41370122,고현동
41370123,청호동
41370124,갈곶동
41390101,대야동
41390102,신천동
41390104,포동
41390105,미산동
41390106,은행동
41390108,매화동
41390109,도창동
41390110,금이동
41390112,과림동
41390118,능곡동
41390119,하중동
41390120,하상동
41390121,광석동
41390123,산현동
41390124,조남동
41390125,논곡동
41390126,목감동
41390127,거모동
41390128,군자동
41390129,장현동
41390130,장곡동
41390131,월곶동
41390132,정왕동
41390135,배곧동
41410101,당동
41410102,당정동
41410103,부곡동
41410104,산본동
41410105,금정동
41410108,대야미동
41410109,도마교동
41430101,고천동
41430102,이동
41430103,삼동
41430104,왕곡동
41430105,오전동
41430106,학의동
41430107,내손동
41430108,청계동
41430109,포일동
41430110,월암동
41430111,초평동
41450101,천현동
41450102,하산곡동
41450103,창우동
41450106,신장동
41450108,덕풍동
41450109,망월동
41450110,풍산동
41450112,선동
41450113,감북동
41450114,감일동
41450115,감이동
41450116,학암동
41450118,춘궁동
41450123,초이동
41450124,광암동
41461101,처인구
41461102,처인구
41461103,처인구
41461104,처인구
41461105,처인구
41461106,처인구
41461107,처인구
41461108,처인구
41461110,처인구
41461250,처인구
41461253,처인구
41461256,처인구
41461259,처인구
41461340,처인구
41461350,처인구
41461360,처인구
41463101,기흥구
41463102,기흥구
41463103,기흥구
41463104,기흥구
41463105,기흥구
41463106,기흥구
41463107,기흥구
41463108,기흥구
41463109,기흥구
41463110,기흥구
41463111,기흥구
41463112,기흥구
41463113,기흥구
41463114,기흥구
41463115,기흥구
41463116,기흥구
41463117,기흥구
41463118,기흥구
41465101,수지구
41465102,수지구
41465103,수지구
41465104,수지구
41465105,수지구
41465106,수지구
41465107,수지구
41480101,금촌동
41480102,아동동
41480104,야동동
41480105,검산동
41480106,맥금동
41480107,교하동
41480108,야당동
41480109,다율동
41480110,오도동
41480111,상지석동
41480112,산남동
41480113,동패동
41480114,당하동
41480115,문발동
41480116,송촌동
41480117,목동동
41480118,하지석동
41480120,신촌동
41480122,와동동
41480123,금릉동
41480250,문산읍
41480253,파주읍
41480256,법원읍
41480262,조리읍
41480310,월롱면
41480320,탄현면
41480350,광탄면
41480360,파평면
41480370,적성면
41500101,창전동
41500102,관고동
41500103,중리동
41500104,증일동
41500105,율현동
41500107,안흥동
41500108,갈산동
41500109,증포동
41500110,송정동
41500111,사음동
41500113,대포동
41500114,고담동
41500250,장호원읍
41500253,부발읍
41500310,신둔면
41500320,백사면
41500330,호법면
41500340,마장면
41500350,대월면
41500360,모가면
41500370,설성면
41500380,율면
41550101,봉산동
41550103,영동
41550106,동본동
41550110,창전동
41550113,인지동
41550114,금산동
41550115,연지동
41550116,대천동
41550117,서인동
41550118,석정동
41550121,계동
41550122,옥산동
41550124,도기동
41550125,당왕동
41550126,가사동
41550127,가현동
41550129,신소현동
41550131,현수동
41550250,공도읍
41550310,보개면
41550320,금광면
41550330,서운면
41550340,미양면
41550350,대덕면
41550360,양성면
41550380,원곡면
41550390,일죽면
41550400,죽산면
41550410,삼죽면
41550420,고삼면
41570101,북변동
41570102,걸포동
41570103,운양동
41570104,장기동
41570105,감정동
41570106,사우동
41570107,풍무동
41570108,마산동
41570109,구래동
41570250,통진읍
